LAYER,MAXSCDENOM
poly-LNDARE,25000
poly-LAKARE,25000
poly-BUAARE,25000
poly-DEPARE,25000
line-COALNE,25000
poly-RIVERS,25000
line-RIVERS,25000
poly-CANALS,25000
line-CANALS,25000
point-LNDARE,25000
line-DEPCNT,25000
poly-SLCONS,25000
line-SLCONS,25000
poly-BRIDGE,25000
line-BRIDGE,25000
line-ROADWY,25000
poly-MIPARE-U,25000
line-MIPARE,25000
poly-RESARE-U,25000
line-RESARE,25000
line-RECTRC,25000
point-LNDRGN,25000
point-SEAARE,25000
line-CBLSUB,25000
line-PIPSOL,25000
line_WRECKS,25000
point-WRECKS-FIG,25000
point-UWTROC-FIG,25000
point-SOUNDG-FIG,25000
point-LNDMRK,25000
point-BCNSPP,25000
point-BOYSPP,25000
point-BOYLAT,25000
point-BOYCAR,25000
point-BOYSAW,25000
point-BOYISD,25000
point-LIGHTS,25000
point-LIGHTS_3857_line,25000
poly-ISTZNE,25000
poly-TSSRON,25000
line-TSELNE,25000
line-TSSLPT,25000
poly-TSSLPT,25000
