LAYER,MAXSCDENOM
poly-LNDARE,12000
poly-LAKARE,12000
poly-BUAARE,12000
poly-DEPARE,12000
line-COALNE,12000
poly-RIVERS,12000
line-RIVERS,12000
poly-CANALS,12000
line-CANALS,12000
point-LNDARE,12000
line-DEPCNT,12000
poly-SLCONS,12000
line-SLCONS,12000
poly-BRIDGE,12000
line-BRIDGE,12000
poly-MIPARE-U,12000
line-MIPARE,12000
poly-RESARE-U,12000
line-RESARE,12000
line-RECTRC,12000
point-LNDRGN,12000
point-SEAARE,12000
line-CBLSUB,12000
line-PIPSOL,12000
line_WRECKS,12000
point-WRECKS-FIG,12000
point-UWTROC-FIG,12000
point-SOUNDG-FIG,12000
point-LNDMRK,12000
point-BCNSPP,12000
point-BOYSPP,12000
point-BOYLAT,12000
point-BOYCAR,12000
point-BOYSAW,12000
point-BOYISD,12000
point-LIGHTS,12000
point-LIGHTS_3857_line,12000
poly-ISTZNE,12000
poly-TSSRON,12000
line-TSELNE,12000
line-TSSLPT,12000
poly-TSSLPT,12000
