LAYER,MAXSCDENOM
poly-LNDARE,600000
poly-LAKARE,600000
poly-BUAARE,600000
poly-DEPARE,600000
line-COALNE,600000
poly-RIVERS,600000
line-RIVERS,600000
poly-CANALS,600000
line-CANALS,600000
point-LNDARE,600000
line-DEPCNT,600000
poly-SLCONS,600000
line-SLCONS,600000
poly-BRIDGE,600000
line-BRIDGE,600000
line-ROADWY,600000
poly-MIPARE-U,600000
line-MIPARE,600000
poly-RESARE-U,600000
line-RESARE,600000
line-RECTRC,600000
point-LNDRGN,600000
point-SEAARE,600000
line-CBLSUB,600000
line-PIPSOL,600000
line_WRECKS,600000
point-WRECKS-FIG,600000
point-UWTROC-FIG,600000
point-SOUNDG-FIG,600000
point-LNDMRK,600000
point-BCNSPP,600000
point-BOYSPP,600000
point-BOYLAT,600000
point-BOYCAR,600000
point-BOYSAW,600000
point-BOYISD,600000
point-LIGHTS,600000
point-LIGHTS_3857_line,600000
poly-ISTZNE,600000
poly-TSSRON,600000
line-TSELNE,600000
line-TSSLPT,600000
poly-TSSLPT,600000
